Date,Price,Open,High,Low,Vol.,Change %
2019-10-02,48.63,48.66,48.93,47.89,31.28M,-0.63%
2019-10-01,48.94,48.3,49.19,47.83,30.98M,1.60%
2019-09-30,48.17,48.6,48.8,47.22,29.73M,-0.54%
2019-09-27,48.43,48.44,49.74,47.75,55.62M,-0.16%
2019-09-26,48.51,46.13,48.66,45.48,60.39M,6.06%
2019-09-25,45.74,44.91,45.8,43.67,47.22M,2.46%
2019-09-24,44.64,48.3,48.4,44.52,64.71M,-7.48%
2019-09-23,48.25,48,49.04,47.84,21.96M,0.27%
2019-09-20,48.12,49.3,49.39,47.63,32.53M,-2.43%
2019-09-19,49.32,49.2,49.59,48.97,24.42M,1.27%
2019-09-18,48.7,49,49.63,48.47,21.14M,-0.53%
2019-09-17,48.96,48.49,49.12,48.07,19.73M,0.82%
2019-09-16,48.56,49.2,49.49,48.23,23.64M,-0.98%
2019-09-13,49.04,49.39,49.69,48.97,26.57M,-0.26%
2019-09-12,49.17,49.54,50.7,48.88,42.91M,-0.51%
2019-09-11,49.42,47.48,49.63,47.2,50.21M,4.90%
2019-09-10,47.11,46.16,47.11,45.79,24.42M,1.62%
2019-09-09,46.36,46,46.75,45.85,24.01M,1.91%
2019-09-06,45.49,45.44,45.93,45.03,20.95M,-0.94%
2019-09-05,45.92,44.5,45.96,44.17,37.02M,4.03%
2019-09-04,44.14,45.38,45.69,43.84,28.84M,-1.91%
2019-09-03,45,44.82,45.79,44.63,26.80M,-0.27%
2019-08-30,45.12,45.83,46.49,44.84,46.64M,1.76%
2019-08-29,44.34,43.8,44.68,43.6,25.92M,2.83%
2019-08-28,43.12,42.74,43.45,42.46,16.19M,0.70%
2019-08-27,42.82,43.15,43.76,42.41,27.10M,-0.42%
2019-08-26,43,42.72,43,42.31,25.27M,1.70%
2019-08-23,42.28,43.99,44.23,42.2,42.80M,-4.84%
2019-08-22,44.43,44.56,45.08,43.64,32.82M,0.59%
2019-08-21,44.17,44.4,44.64,43.52,39.00M,-2.21%
2019-08-20,45.17,45.52,45.82,44.91,20.85M,-0.44%
2019-08-19,45.37,44.84,45.57,44.34,26.56M,3.14%
2019-08-16,43.99,43.33,44.45,43.2,26.04M,1.99%
2019-08-15,43.13,44.17,44.31,42.31,41.16M,-1.80%
2019-08-14,43.92,46.24,46.3,43.34,47.81M,-6.55%
2019-08-13,47,45.76,47.2,45.51,24.34M,2.62%
2019-08-12,45.8,46.6,47.15,45.75,23.32M,-2.55%
2019-08-09,47,47.21,47.79,46.76,19.49M,-1.38%
2019-08-08,47.66,46.89,47.96,46.53,26.37M,2.10%
2019-08-07,46.68,45.3,46.71,45.16,23.88M,1.15%
2019-08-06,46.15,46.38,46.5,45.15,27.82M,1.07%
2019-08-05,45.66,45.92,46.27,45.16,35.14M,-2.58%
2019-08-02,46.87,46.27,47.25,45.85,30.68M,0.21%
2019-08-01,46.77,48.53,48.9,46.35,41.30M,-3.21%
2019-07-31,48.32,48.6,49.34,47.33,45.89M,-0.27%
2019-07-30,48.45,46.58,48.67,46.44,40.55M,2.76%
2019-07-29,47.15,45.42,47.19,45.21,46.37M,3.38%
2019-07-26,45.61,45.38,46.05,44.45,50.14M,-0.33%
2019-07-25,45.76,46.7,46.9,45.11,112.09M,-13.63%
2019-07-24,52.98,51.83,53.21,51.63,55.36M,1.83%
2019-07-23,52.03,51.34,52.1,50.9,25.12M,1.74%
2019-07-22,51.14,51.75,52.43,50.84,34.23M,-0.97%
2019-07-19,51.64,51.14,51.99,50.92,35.24M,1.83%
2019-07-18,50.71,51.01,51.15,50.38,23.82M,-0.51%
2019-07-17,50.97,51.13,51.66,50.67,48.82M,0.97%
2019-07-16,50.48,49.86,50.71,49.59,40.74M,-0.43%
2019-07-15,50.7,49.6,50.88,48.97,55.00M,3.43%
2019-07-12,49.02,47.95,49.08,47.94,46.00M,2.72%
2019-07-11,47.72,47.63,48.3,47.16,37.57M,-0.13%
2019-07-10,47.78,46.83,47.79,46.63,45.73M,3.85%
2019-07-09,46.01,45.79,46.2,45.46,30.95M,-0.13%
2019-07-08,46.07,46.25,46.45,45.73,29.40M,-1.18%
2019-07-05,46.62,46.91,47.09,46.16,35.33M,-0.77%
2019-07-03,46.98,47.88,48.31,46.9,71.01M,4.61%
2019-07-02,44.91,45.78,45.83,44.44,46.30M,-1.14%
2019-07-01,45.43,46.04,46.62,45.26,41.19M,1.66%
2019-06-28,44.69,44.2,45.03,44.16,34.26M,0.27%
2019-06-27,44.57,43.89,44.58,43.47,31.70M,1.64%
2019-06-26,43.85,44.06,45.45,43.62,42.54M,-0.23%
2019-06-25,43.95,44.88,45.07,43.9,30.91M,-1.74%
2019-06-24,44.73,44.65,45.17,44.2,28.75M,0.81%
2019-06-21,44.37,43.24,44.44,43.1,41.01M,1.02%
2019-06-20,43.92,44.6,45.38,43.27,59.32M,-3.02%
2019-06-19,45.29,45.02,45.55,44.21,32.88M,0.76%
2019-06-18,44.95,45.74,46.95,44.51,63.58M,-0.13%
2019-06-17,45.01,43.1,45.4,42.85,61.58M,4.72%
2019-06-14,42.98,42.25,43.33,42.08,37.17M,0.47%
2019-06-13,42.78,42.08,42.98,41.5,40.84M,2.22%
2019-06-12,41.85,44.59,44.68,41.8,75.99M,-3.62%
2019-06-11,43.42,43.83,44.18,42.7,58.27M,1.97%
2019-06-10,42.58,42.05,43.39,41.8,52.93M,4.11%
2019-06-07,40.9,41,42.17,40.7,80.02M,-0.70%
2019-06-06,41.19,40.89,42.2,40.36,101.21M,4.76%
2019-06-05,39.32,39.74,40.26,38.37,67.55M,1.55%
2019-06-04,38.72,36.22,38.8,35.92,69.04M,8.19%
2019-06-03,35.79,37.1,37.34,35.4,65.32M,-3.35%
2019-05-31,37.03,37.02,37.98,36.82,52.03M,-1.62%
2019-05-30,37.64,37.75,38.45,37.4,39.63M,-0.87%
2019-05-29,37.97,37.42,38.48,37.01,59.84M,0.61%
2019-05-28,37.74,38.24,39,37.57,51.56M,-1.02%
2019-05-24,38.13,39.97,40,37.75,70.68M,-2.48%
2019-05-23,39.1,38.87,39.89,37.24,132.74M,1.43%
2019-05-22,38.55,39.82,40.79,38.36,93.43M,-6.02%
2019-05-21,41.02,39.55,41.48,39.21,90.02M,-0.12%
2019-05-20,41.07,40.56,41.2,39.05,102.63M,-2.70%
